ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
118,f,74.5,188,100,16.97,5.16,11.8,1.75,2.65,4.4,3.78,8.18,12.29,12.56,6.585,11.84,32.6,1.37,2200
119,f,65.7,181.6,93.1,15.78,3.86,11.93,,,4.63,4.09,8.72,12.53,14.72,6.035,,32.1,1.31,2470
120,f,84.15,173,96,18.21,4.98,13.23,1.84,2.88,4.72,4.26,8.98,12.68,13.63,6.94,12.07,29.6,0.85,1960
121,f,67,173,90,15.55,3.25,12.3,1.76,2.61,4.38,3.73,8.13,12.18,14.09,8.68,14.77,38.2,1.38,2230
122,f,56.4,165,84,15.34,2.49,12.85,2.06,3.13,5.19,4.59,9.78,9.46,12.04,5.65,12.24,28.4,0.8,1980
123,f,76.4,180.0,96,17.31,4.8,12.51,2,2.69,4.7,3.79,8.49,11.24,11.80,7.65,13.18,31.5,0.95,2400
124,f,55.5,166.0,79,15.09,2.12,12.98,1.96,2.88,4.84,4.09,8.93,10.46,10.71,7.43,12.87,28.7,1.01,2250
125,f,73.3,167,92,15.73,3.29,12.45,1.87,2.93,4.8,4.36,9.16,11.96,10.92,7.74,12.02,27.9,1.33,1940
126,f,81.7,185,100,17.14,5.12,12.03,1.81,2.72,4.54,3.98,8.52,11.84,12.27,6.985,12.56,31.4,0.94,2010
127,f,64.6,174,94,15.54,3.5,12.05,1.93,2.93,4.86,4.22,9.09,9.7,11.86,7.46,12.4,31.4,0.93,2030
128,f,60.3,171.0,89,15.84,3.27,12.58,2,2.79,4.81,4,8.81,11.98,12.01,7.39,12.48,31.1,1.1,2360
129,f,68.8,178.6,92.9,15.23,3.44,11.8,,,4.3,3.65,7.95,13.79,13.88,6.85,,41.1,1.74,
130,f,79,172,91,15.62,3.35,12.27,1.88,2.83,4.72,4.32,9.04,11.71,13.57,,,33.2,1.36,1950
131,f,59,163,87,15.2,2.54,12.67,1.82,2.61,4.43,3.8,8.24,11.77,9.83,,,39.1,2.04,2550
132,f,74,171,94,15.71,3.51,12.2,1.82,2.72,4.56,4.01,8.57,12,13.96,,,36.8,1.37,2230
133,f,70.5,165,89,15.9,3.13,12.77,1.76,2.78,4.56,4.11,8.67,11.9,12.74,7.795,12.78,38,1.7,2200
134,f,61.1,170,92,15.78,3.36,12.41,1.81,2.6,4.41,3.77,8.26,11.84,13.17,8.235,13.9,37.8,2.1,2350
135,f,74,174,97,15.64,3.74,11.9,2.03,3.07,5.1,4.58,9.69,10,11.46,,,31.6,1.19,1980
136,f,70.2,172,92,15.48,3.3,12.18,1.87,2.69,4.56,3.86,8.42,11.21,13.48,8.215,13.9,34.1,1.78,2560
137,f,72,173,92,16.16,3.7,12.46,1.9,2.93,4.83,4.44,9.27,9.37,10.4,,,36,1.13,2280
138,f,87.4,182,95,15.66,3.92,11.74,1.9,2.98,4.88,4.45,9.33,12.9,13.7,8.225,14.2,31.6,1.36,2450
139,f,62,173.0,91,14.12,2.51,11.61,1.82,2.73,4.55,4.03,8.58,10.29,10.09,8.08,13.74,38,1.85,2210
140,f,58.4,174.0,91,15.06,3.05,12.02,1.77,2.59,4.36,3.78,8.14,11.95,10.32,7.42,13.63,37.2,1.93,2425
141,f,67.3,169,90,14.75,2.7,12.04,1.72,2.62,4.34,3.8,8.14,13.18,11.79,8.25,13.3,44.1,1.63,2300
142,f,58.7,178,92,14.75,3.07,11.69,1.71,2.5,4.21,3.57,7.78,11.76,12.87,8.61,15.4,47.4,1.93,2250
143,f,62.2,164,87,14.08,2.02,12.07,1.71,2.62,4.37,3.83,8.26,12.5,13.7,8.45,13.7,36.7,1.54,2250
144,f,69.1,177,82,14.63,2.47,12.16,1.72,2.51,4.23,3.66,7.89,13.12,13.87,8.73,14.8,40,1.37,2400
145,f,53.4,166.0,83.5,14.41,1.99,12.41,1.79,2.68,4.47,3.85,8.32,12.04,13.22,8.81,14.52,41.1,1.37,2780
